"idaction","name","hash","type","url_prefix"
138,"Nulla eos autem qui repellendus.",1093726293,4,"NULL"
139,"demo.sajt/blog/2010/08/piwik-1-0/?pk_source=google-ads&pk_medium=paid-ads&pk_content=text&pk_cid=cid-4378565&pk_placement=top",693351471,1,0
140,"Video Category",3049668087,7,"NULL"
141,"Mobile stuff",4125240734,7,"NULL"
142,"My Product",2887979505,6,"NULL"
143,"SKU-9526",282864006,5,"NULL"
144,"Quidem quia minima corporis veniam dolores labore ut laboriosam.",2186057396,4,"NULL"
145,"demo.sajt/docs/geo-locate/",2950318960,1,0
146,"demo.sajt/docs/geo-locate/",2950318960,10,0
147,"Dolorum et nam excepturi illo sequi laudantium mollitia.",3505337084,4,"NULL"
148,"demo.sajt/blog/2011/03/piwik-can-be-used-in-compliance-with-data-protection-laws/",4185054136,1,0
149,"Laboriosam aut sunt omnis labore quia placeat corrupti libero.",3055891054,4,"NULL"
150,"demo.sajt/docs/manage-websites/",1297991106,1,0
151,"Similique et rerum sed temporibus doloribus.",975898186,4,"NULL"
152,"demo.sajt/blog/2010/03/piwik-irc-meetup-3/",3912429365,1,0
153,"demo.sajt/blog/2010/03/piwik-irc-meetup-3/",3912429365,10,0
154,"Amet dolor molestiae vel quos.",1674820494,4,"NULL"
155,"demo.sajt/user-guide/piwik-administration/",3090498275,1,0
156,"http://demo.sajt/latest.zip",3438541706,3,"NULL"
157,"Ipsa sed debitis et.",689896611,4,"NULL"
158,"demo.sajt/submit-/",2920673921,1,0
159,"demo.sajt/submit-/",2920673921,10,0
160,"A exercitationem aliquam et nihil est ducimus veritatis.",631630758,4,"NULL"
161,"demo.sajt/blog/integrate/jenkins-module/",1525593456,1,0
162,"Eum maiores vel molestiae ut expedita.",4183789643,4,"NULL"
163,"demo.sajt/blog/2011/01/piwik-1-1-1/",491274756,1,0
164,"Product Name",273309567,6,"NULL"
165,"SKU-1526",3580363113,5,"NULL"
166,"Accusantium animi dignissimos enim expedita eum.",1394936337,4,"NULL"
167,"demo.sajt/faq/mobile",4004012409,1,0
168,"http://github.com",1129997328,2,"NULL"
169,"Earum ad ullam dolorem excepturi velit omnis dolores.",270733492,4,"NULL"
170,"demo.sajt/blog/tasks/support-5-custom-variables-at-the-visit-level-and-provide-new-reports-on-these-variables-now-available-in-piwik-1-1/",93463844,1,0
171,"Cumque quia pariatur eum optio animi quo quia.",666210104,4,"NULL"
172,"demo.sajt/log-analytics/faq/",757096380,1,0
173,"demo.sajt/log-analytics/faq/",757096380,10,0
174,"Et repellendus quia est voluptatem.",790699645,4,"NULL"
175,"demo.sajt/blog/2012/09/piwik-mobile-1-9/",3047643212,1,0
176,"Laudantium magni dolor corrupti voluptas voluptatem et ducimus ea.",3273642753,4,"NULL"
177,"Neque quae magni magnam.",1157541892,4,"NULL"
178,"demo.sajt/blog/cetgory/videos",2952898467,1,0
179,"SKU-0122",1840253641,5,"NULL"
180,"Aliquid exercitationem reprehenderit reiciendis voluptates sint nesciunt.",95668474,4,"NULL"
181,"demo.sajt/blog/category/press-release/",3343375962,1,0
182,"Et numquam quam eaque ut qui.",926569815,4,"NULL"
183,"demo.sajt/blog/2010/04/piwik-0-6-security-advisory/",3646121149,1,0
184,"demo.sajt/blog/2010/04/piwik-0-6-security-advisory/",3646121149,10,0
185,"Laudantium quas odio est praesentium.",4270619149,4,"NULL"
186,"demo.sajt/download-started/",3239771506,1,0
187,"Consequatur suscipit repellendus qui in occaecati dolores ut.",3269782445,4,"NULL"
188,"demo.sajt/blog/author/matt/",2171472440,1,0
189,"Perferendis qui corrupti in quia.",3588012599,4,"NULL"
190,"demo.sajt/blog/2009/01/using-the-piwik-api-and-google-spreadsheet-to-generate-excel-like-custom-reports/",1427206936,1,0
191,"Est molestias accusamus ut vitae est molestiae et excepturi.",4154044858,4,"NULL"
192,"demo.sajt/blog/2008/02/piwik-presentation/",1710154143,1,0
193,"SKU-6585",727285984,5,"NULL"
194,"Et quaerat saepe nobis voluptatibus.",2327550456,4,"NULL"
195,"demo.sajt/blog/2009/04/piwik-response-to-cve-2009-1085/",1669939179,1,0
196,"http://demo.sajt/blog/2009/04/piwik-response-to-cve-2009-1085/",3896786605,13,"NULL"
197,"demo.sajt/blog/2009/04/piwik-response-to-cve-2009-1085/",1669939179,10,0
198,"incredible title!",1144878801,4,"NULL"
199,"example.org/index.htm",1534659805,1,0
200,"Another Product page",2762154566,4,"NULL"
201,"Another Product page with no category",1730519653,4,"NULL"
202,"Looking at Electronics &amp; Cameras page with a page level custom variable",431506328,4,"NULL"
203,"Looking at Electronics &amp; Cameras page again",455028029,4,"NULL"
204,"Looking at product page",4129471415,4,"NULL"
205,"SKU VERY nice indeed",1120478230,5,"NULL"
206,"PRODUCT name",3392118809,6,"NULL"
207,"Electronics & Cameras",1293017751,7,"NULL"
208,"SKU WILL BE DELETED",424923689,5,"NULL"
209,"BLABLA DELETED",2394080273,6,"NULL"
210,"ANOTHER SKU HERE",2645960565,5,"NULL"
211,"PRODUCT name BIS",3161819960,6,"NULL"
212,"SKU2",2334713312,5,"NULL"
213,"Canon SLR",236963668,6,"NULL"
214,"SKU IN ABANDONED CART ONE",1756315920,5,"NULL"
215,"PRODUCT ONE LEFT in cart",2748284124,6,"NULL"
216,"View product left in cart",1224108826,4,"NULL"
217,"SKU IN ABANDONED CART TWO",50941319,5,"NULL"
218,"PRODUCT TWO LEFT in cart",4279515972,6,"NULL"
219,"Category TWO LEFT in cart",3335615286,7,"NULL"
220,"PRODUCT THREE LEFT in cart",2619533438,6,"NULL"
221,"TRIPOD SKU",2414828951,5,"NULL"
222,"TRIPOD - bought day after",1598135417,6,"NULL"
223,"Tools",725348723,7,"NULL"
224,"Piwik Upgrade Without Missing Logs",2365244135,4,"NULL"
225,"forum.piwik.org/read.php?2,76977",2073526209,1,0
226,"Piwik 1.5 RC testing: JS canvas charts (beta), Ecommerce analytics, and more!",667905369,4,"NULL"
227,"forum.piwik.org/read.php?2,77199,77199",64163487,1,0
228,"Filter results by site directory?",1730286389,4,"NULL"
229,"forum.piwik.org/read.php?2,397",2408950396,1,0
230,"Piwik Forums",2188306076,4,"NULL"
231,"forum.piwik.org/",1237159542,1,0
232,"forum.piwik.org/register.php",3203083027,1,0
233,"forum.piwik.org/login.php",1472022881,1,0
234,"forum.piwik.org/register.php?0,approve=9a94a02145599",1073745374,1,0
235,"forum.piwik.org/index.php",2013967476,1,0
236,"Piwik Forums :: Control Center :: Personal Profile",3895871897,4,"NULL"
237,"forum.piwik.org/control.php",1760445045,1,0
238,"Piwik Forums :: Control Center :: Edit Signature",4134290082,4,"NULL"
239,"forum.piwik.org/control.php?0,panel=sig",2628848993,1,0
240,"forum.piwik.org/control.php?0,panel=summary",608967387,1,0
241,"Piwik Forums :: Control Center :: Edit My Profile",2285431554,4,"NULL"
242,"forum.piwik.org/control.php?0,panel=user",1355547814,1,0
243,"Piwik Forums :: Piwik General Questions",495702506,4,"NULL"
244,"forum.piwik.org/list.php?2",3587656811,1,0
245,"forum.piwik.org/read.php?2,77199",3020114325,1,0
246,"admin console unresponsive: freezes website",1025996260,4,"NULL"
247,"forum.piwik.org/read.php?2,77322",3282148792,1,0
248,"Bug report: Fatal error: Declaration of Piwik_SearchEnginePosition_Filter_AddAveragePage::filter() must be compatible with that of Piwik_DataTable_Filter::filter()",3010749038,4,"NULL"
249,"forum.piwik.org/read.php?2,73215",4165510840,1,0
250,"Performance Issues",4200549413,4,"NULL"
251,"forum.piwik.org/read.php?2,3022",827316602,1,0
252,"High-Traffic experiences",3812910693,4,"NULL"
253,"forum.piwik.org/read.php?2,34951",4283160125,1,0
254,"bug after 10 000 visitor by day",3130399816,4,"NULL"
255,"forum.piwik.org/read.php?2,74447",4067129306,1,0
256,"Piwik and Google Adwords",2578668859,4,"NULL"
257,"forum.piwik.org/read.php?3,70002,page=1",66241979,1,0
258,"http://dev.piwik.org/trac/ticket/517#comment:18",1080954470,2,"NULL"
259,"why should I go with Piwik over Open Web Analytics (OWA)?",3901562871,4,"NULL"
260,"forum.piwik.org/read.php?2,73759",2472144252,1,0
261,"forum.piwik.org/read.php?2,77199,77355",2773801430,1,0
262,"Create Piwik account (drupal)",4236772829,4,"NULL"
263,"forum.piwik.org/read.php?2,39841",368596374,1,0
264,"Scaling Piwik",2209979713,4,"NULL"
265,"forum.piwik.org/read.php?2,46101",2483447643,1,0
266,"Sending Custom Variables to Tracker",3568109823,4,"NULL"
267,"forum.piwik.org/read.php?3,399",1431154379,1,0
268,"Piwik Library for CodeIgniter",4251880028,4,"NULL"
269,"forum.piwik.org/read.php?3,65321",1807099533,1,0
270,"Compilation: New Search Engine, Live Plugin Error and New Plugin",997215709,4,"NULL"
271,"forum.piwik.org/read.php?3,21461",1886897307,1,0
272,"iPod Touch 4G resolution not correct",447413099,4,"NULL"
273,"forum.piwik.org/read.php?2,76886,76886",1150931895,1,0
274,"weird output from archive.sh",3888631318,4,"NULL"
275,"forum.piwik.org/read.php?2,77324",717371533,1,0
276,"forum.piwik.org/read.php?2,77324,77331",3861442393,1,0
277,"forum.piwik.org/login.php?2",2721488172,1,0
278,"forum.piwik.org/posting.php",3676335897,1,0
279,"Visitor generator",274963342,4,"NULL"
280,"forum.piwik.org/read.php?2,72753",3408945927,1,0
281,"email tracking with piwik",3130211713,4,"NULL"
282,"forum.piwik.org/read.php?2,2845",1340005762,1,0
283,"Search and list ip address",2442993675,4,"NULL"
284,"forum.piwik.org/read.php?2,77229",1437675015,1,0
285,"Error : Wrong password and username",4053812623,4,"NULL"
286,"forum.piwik.org/read.php?2,42081",3531542579,1,0
287,"Piwik Forums :: Deutschsprachiges Forum - German support",405665394,4,"NULL"
288,"forum.piwik.org/list.php?5",1270077896,1,0
289,"Mit Piwik umziehen - 1 Frage",3194683764,4,"NULL"
290,"forum.piwik.org/read.php?5,77347",540471359,1,0
291,"Allowed memory size exhausted",1273802133,4,"NULL"
292,"forum.piwik.org/read.php?2,3177",1032893319,1,0
293,"[FIXED] Piwik 1.3 enabling Plugin &quot;SiteSearch&quot;",3067426864,4,"NULL"
294,"forum.piwik.org/read.php?2,75696",2348452362,1,0
295,"SiteSearch Plugin, Binding Data",2774830120,4,"NULL"
296,"forum.piwik.org/read.php?2,73068",3392968876,1,0
297,"Any way to track direct downloads?",1267653990,4,"NULL"
298,"forum.piwik.org/read.php?2,72189,72195",389577052,1,0
299,"[Solved] Opt-In Button/Popup? (Neue Eu-Richtlinie zu Cookies)",2270463864,4,"NULL"
300,"forum.piwik.org/read.php?5,77312",757854453,1,0
301,"Piwik and new EU cookie law",1385616154,4,"NULL"
302,"forum.piwik.org/read.php?2,73153",1996585168,1,0
303,"Piwik Forums :: Piwik Feature Suggestions",198331415,4,"NULL"
304,"forum.piwik.org/list.php?3",2731572477,1,0
305,"Piwik und AJAX-Shoutbox",3503546767,4,"NULL"
306,"forum.piwik.org/read.php?5,75347",2319399092,1,0
307,"[Solved] Piwik 1.3 - Internal Search Evolution widget stoped working",3096739048,4,"NULL"
308,"forum.piwik.org/read.php?2,75306",1559491496,1,0
309,"Direkte Zugriffe mit 0 Sekunden Besuchszeit",754951133,4,"NULL"
310,"forum.piwik.org/read.php?5,75449",1757938486,1,0
311,"Piwik + Flowplayer HOWTO",3775221854,4,"NULL"
312,"forum.piwik.org/read.php?2,65791",691821614,1,0
313,"best strategy for analyzing internal search -goal, custom variable, or parse data?",2875243622,4,"NULL"
314,"forum.piwik.org/read.php?2,75913",940946352,1,0
315,"User Interface / UI Design / Themes / jQuery",795617486,4,"NULL"
316,"forum.piwik.org/read.php?3,1965",2781063548,1,0
317,"Using .htaccess to restrict access",3554118842,4,"NULL"
318,"forum.piwik.org/read.php?2,17251",2607531346,1,0
319,"High traffic Piwik servers - database usage?",3266211306,4,"NULL"
320,"forum.piwik.org/read.php?2,73486",3020828921,1,0
321,"forum.piwik.org/list.php?3,page=2",1728919697,1,0
322,"Request: Users to be able to register",1692241199,4,"NULL"
323,"forum.piwik.org/read.php?3,74194",2121306482,1,0
324,"http://dev.piwik.org/trac/ticket/1148",112842523,2,"NULL"
325,"http://piwik.org/features/",3122869514,2,"NULL"
326,"Intallation &gt;&gt; Fatal error: Allowed memory size of 8388608 bytes exhausted (tried to allocate 30720 bytes)",675585521,4,"NULL"
327,"forum.piwik.org/read.php?2,672",1740091798,1,0
328,"forum.piwik.org/list.php?5,page=4",1208063011,1,0
329,"piwik 0.4.3 and bing",4022438892,4,"NULL"
330,"forum.piwik.org/read.php?2,4593",1050724981,1,0
331,"MySQL: Alte Monatsarchiv-Tabellen einfach löschen?",3731503916,4,"NULL"
332,"forum.piwik.org/read.php?5,69371",1070028874,1,0
333,"Unique Visitor Detection",3561675788,4,"NULL"
334,"forum.piwik.org/read.php?2,5037",2102739816,1,0
335,"ExampleCode - technology with passion",2487902693,4,"NULL"
336,"example.org/",1864320163,1,0
337,"Example Blue | Peek inside paradise &amp; Live the local lifestyle",3966815113,4,"NULL"
338,"Fiesta in Example | Example Blue",1950776714,4,"NULL"
339,"referrer.example.org/example-island-guide/fiesta-example/",1101443805,1,0
340,"http://referrer.example.org/wp-content/uploads/Fiestas-of-Example-©-ExampleBlue.com_.jpg",2350891118,3,"NULL"
341,"http://outlink.example.org/en/destination/europe/spain/",1690461387,2,"NULL"
342,"Example Blue | Category Archive | EXAMPLE LIFESTYLE BLOG",2770109002,4,"NULL"
343,"example.org/category/example-lifestyle/",3067508180,1,0
344,"Sant Joan Ciutadella de Example | Example Blue",3042467585,4,"NULL"
345,"example.org/example-lifestyle/culture-heritage/festes-de-sant-joan-2010-ciutadella-de-example/",321977259,1,0
346,"Offer",3893864506,4,"NULL"
347,"referrer.example.org/offer/",2162410350,1,0
348,"Viewable impression tracking and pitfalls.",4106597727,4,"NULL"
349,"example.org/2013/04/viewable-impression-tracking-and-pitfalls/?pk_source=adwords&pk_medium=cpc&pk_id=47505023145",3816957728,1,0
350,"‘Sa Bassa Verda’ de Example | Example Blue",2231844949,4,"NULL"
351,"example.org/es/consejos-example/excursiones/sa-bassa-verda-example-interior-belleza-natural/",3962241174,1,0
352,"Example Blue | Cala Macarella &amp; Macarelleta",3463133518,4,"NULL"
353,"example.org/explore-the-island/beaches/cala-macarella-macarelleta/",3760605275,1,0
354,"example.org/es/",3703415575,1,0
355,"referrer.example.org/es/consejos-example/excursiones/sa-bassa-verda-example-interior-belleza-natural/",3256243559,1,0
356,"http://outlink.example.org/example_blue/",3621954368,2,"NULL"
357,"RTB online advertising fraud",2632715564,4,"NULL"
358,"example.org/2014/03/rtb-online-advertising-fraud/",3451831422,1,0
359,"Example Blue | Cala Fontanelles",9747367,4,"NULL"
360,"example.org/explore-the-island/beaches/cala-fontanelles/",2370863281,1,0
361,"Example Blue | Category Archive | Example News",3617514156,4,"NULL"
362,"example.org/category/example-lifestyle/example-news/",4223921472,1,0
363,"Example Blue | LOCAL LIFESTYLE",3050105584,4,"NULL"
364,"example.org/culture-lifestyle/",2035848683,1,0
365,"Example Blue | Farming &amp; Fishing",356156810,4,"NULL"
366,"example.org/culture-lifestyle/farming/",2339428384,1,0
367,"Example Blue | Category Archive | A Local’s Lifestyle",892260301,4,"NULL"
368,"referrer.example.org/category/example-lifestyle/local-lifestyle/",1422438156,1,0
369,"A Local’s Lifestyle | Example Blue",2334612129,4,"NULL"
370,"example.org/example-lifestyle/local-lifestyle/a-locals-lifestyle/",2025258777,1,0
371,"Portfolio",723292865,4,"NULL"
372,"example.org/portfolio/",3283272674,1,0
373,"Google2Piwik",2991085767,4,"NULL"
374,"example.org/offer/open-source-projects/google2piwik/",1005585921,1,0
375,"http://outlink.example.org/examplecode/Google2Piwik.git",4065578249,2,"NULL"
376,"Example Blue | Spas in Example",1848508995,4,"NULL"
377,"example.org/what-to-do-on-example/relax/spas/",3126967050,1,0
378,"Example Blue | Calas Picas",1978834520,4,"NULL"
379,"example.org/explore-the-island/beaches/calas-picas/",79730958,1,0
380,"Contact ExampleCode",65638658,4,"NULL"
381,"example.org/contact-us/",3150457294,1,0
382,"Example Blue | WHAT TO DO ON EXAMPLE",171031834,4,"NULL"
383,"example.org/what-to-do-on-example/",1415455736,1,0
384,"Example Blue | Family Entertainment",1582157140,4,"NULL"
385,"referrer.example.org/what-to-do-on-example/family-fun/",2428271970,1,0
386,"Example Blue | Category Archive | EXAMPLE ISLAND GUIDE",1128071259,4,"NULL"
387,"example.org/category/example-island-guide/",3859679268,1,0
388,"Alternatives to cookie tracking",3464553109,4,"NULL"
389,"example.org/2013/04/alternatives-to-cookie-tracking/?pk_source=adwords&pk_medium=cpc&pk_id=47505023505",2774081647,1,0
390,"http://outlink.example.org/translate_c?hl=es&amp;sl=en&amp;u=http://ca.wikiloc.com/wikiloc/view.do?id=351555&amp;prev=/search?q=example+blue&amp;hl=es&amp;sa=G&amp;pwst=1&amp;prmd=ivns&amp;rurl=translate.google.com&amp;twu=1&amp;usg=ALkJrhj2G8P6Bzo_958X3fHO5oEwceFGdQ",1601879070,2,"NULL"
391,"Xavi Gomila, el hombre con la vista de pájaro | Example Blue",3198760624,4,"NULL"
392,"example.org/es/es/category/consejos-example/excursiones/",2568012853,1,0
393,"example.org/es/es/category/consejos-example/",4066407771,1,0
394,"referrer.example.org/es/es/category/consejos-example/excursiones/",3396283993,1,0
395,"Example Blue | EXPLORE THE ISLAND",310670248,4,"NULL"
396,"example.org/explore-the-island/",3071158008,1,0
397,"Kanary NEST",1312486218,4,"NULL"
398,"referrer.example.org/casestudies/kanary/",589413552,1,0
399,"About ExampleCode",3245381267,4,"NULL"
400,"example.org/about/",963625769,1,0
401,"example.org/offer/",3247525861,1,0
402,"Example’s Cool Summer Breeze | Example Blue",1720307414,4,"NULL"
403,"example.org/exampleblue-travel-tips/example-must-know/example-the-windy-island-ruled-by-%E2%80%98sa-rosa-dels-vents%E2%80%99/",1973036686,1,0
404,"Careers - job opportunities in ExampleCode",198699590,4,"NULL"
405,"example.org/praca/",1589955440,1,0
406,"AngularJS Developer",4054551528,4,"NULL"
407,"referrer.example.org/praca/angularjs-developer/",1910468175,1,0
408,"About technology with passion",2068880789,4,"NULL"
409,"example.org/blog/",1076391590,1,0
410,"Example Blue | Fiestas de Sant Cristófol Es Migjorn Gran",1549661510,4,"NULL"
411,"example.org/culture-lifestyle/examples-local-fiestas/fiesta-dates-places/fiestas-de-sant-cristofol-es-migjorn-gran/",2801302700,1,0
412,"example.org/2013/04/alternatives-to-cookie-tracking/?pk_source=adwords&pk_medium=cpc&pk_id=47505022545",2039054862,1,0
413,"Example Blue | Cala Algaiarens (La Vall)",1738265161,4,"NULL"
414,"example.org/explore-the-island/beaches/cala-algaiarens-la-vall/",2646545667,1,0
415,"Example Blue | Fiestas de La Mare de Déu de Gràcia de Maò",2455376082,4,"NULL"
