"idvisit","idsite","idvisitor","server_time","idaction_url","idlink_va","idgoal","buster","idorder","items","url","revenue","revenue_shipping","revenue_subtotal","revenue_tax","revenue_discount","pageviews_before","visitor_returning","visitor_seconds_since_first","visitor_seconds_since_order","visitor_count_visits","referer_keyword","referer_name","referer_type","config_browser_name","config_client_type","config_device_brand","config_device_model","config_device_type","location_city","location_country","location_latitude","location_longitude","location_region","custom_dimension_1","custom_dimension_2","custom_dimension_3","custom_dimension_4","custom_dimension_5"
296,2,0x577790d30109d357,"2023-10-22 14:13:55","NULL","NULL",-1,0,"NULL",5,"",56.5,"NULL","NULL","NULL","NULL","NULL",1,2648,"NULL",2,"NULL","referrer.example.org",3,"CH",1,"","generic desktop",0,"Jassans-Riottier","fr",45.984000,4.759000,"ARA","NULL","NULL","NULL","NULL","NULL"
297,2,0x0717fcde57bf800e,"2023-10-22 14:00:40","NULL","NULL",-1,0,"NULL",2,"",48.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"CH",1,"","generic desktop",0,"Paris","fr",48.857000,2.352000,"IDF","NULL","NULL","NULL","NULL","NULL"
298,2,0xb56ae453256093c5,"2023-10-22 14:22:07","NULL","NULL",-1,0,"NULL",3,"",42.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"CH",1,"","generic desktop",0,"Paris","fr",48.857000,2.352000,"IDF","NULL","NULL","NULL","NULL","NULL"
299,2,0x5688ac4f63f21ef0,"2023-10-22 14:34:07","NULL","NULL",-1,0,"NULL",1,"",14.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"IE",1,"","generic desktop",0,"Paris","fr",48.857000,2.352000,"IDF","NULL","NULL","NULL","NULL","NULL"
300,2,0xe4c7d72eaa42e18b,"2023-10-22 15:28:29","NULL","NULL",-1,0,"NULL",15,"",383.5,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"CH",1,"","generic desktop",0,"Paris","fr",48.857000,2.352000,"IDF","NULL","NULL","NULL","NULL","NULL"
301,2,0xdcc2581b8fcc7d22,"2023-10-22 15:22:20","NULL","NULL",-1,0,"NULL",3,"",40.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"CH",1,"","generic desktop",0,"Nantes","fr",47.218000,-1.554000,"","NULL","NULL","NULL","NULL","NULL"
302,2,0xb986db7f208ad3ed,"2023-10-22 15:27:00","NULL","NULL",-1,0,"NULL",1,"",7.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"FF",1,"","generic desktop",0,"Mont-de-Marsan","fr",43.894000,-0.500000,"NAQ","NULL","NULL","NULL","NULL","NULL"
303,2,0xf7b00f55001e0ab5,"2023-10-22 15:34:47","NULL","NULL",-1,0,"NULL",4,"",40.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"CH",1,"","generic desktop",0,"Paris","fr",48.857000,2.352000,"IDF","NULL","NULL","NULL","NULL","NULL"
304,2,0x6165307567e88d67,"2023-10-22 15:49:23","NULL","NULL",-1,0,"NULL",0,"",0.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"SF",1,"AP","generic desktop",0,"Paris","fr",48.857000,2.352000,"IDF","NULL","NULL","NULL","NULL","NULL"
305,2,0xa4acc17d5a2651a2,"2023-10-22 15:41:23","NULL","NULL",-1,0,"NULL",3,"",44.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"","example-triple-roulement",6,"IE",1,"","generic desktop",0,"Paris","fr",48.857000,2.352000,"IDF","NULL","NULL","NULL","NULL","NULL"
306,2,0xdeac7f30095badae,"2023-10-22 15:54:30","NULL","NULL",-1,0,"NULL",1,"",8.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"CH",1,"","generic desktop",0,"Paris","fr",48.894000,2.390000,"IDF","NULL","NULL","NULL","NULL","NULL"
307,2,0xaf3692d5520d1222,"2023-10-22 15:47:20","NULL","NULL",-1,0,"NULL",2,"",99.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"","jongle-balle",6,"IE",1,"AU","generic desktop",0,"Paris","fr",48.857000,2.352000,"IDF","NULL","NULL","NULL","NULL","NULL"
308,2,0x4456c2406efe30ff,"2023-10-22 16:10:59","NULL","NULL",-1,0,"NULL",3,"",33.0,"NULL","NULL","NULL","NULL","NULL",1,17812,"NULL",2,"NULL","referrer.example.org",3,"MF",1,"AP","iPad",2,"Norwalk","us",41.142000,-73.427000,"CT","NULL","NULL","NULL","NULL","NULL"
309,2,0x4331d4ded9527710,"2023-10-22 16:30:58","NULL","NULL",-1,0,"NULL",2,"",31.5,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"CH",1,"","generic desktop",0,"Poitiers","fr",46.580000,0.340000,"NAQ","NULL","NULL","NULL","NULL","NULL"
310,2,0xeb0596f4ea799fa1,"2023-10-22 17:00:55","NULL","NULL",-1,0,"NULL",1,"",12.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"","example",6,"FF",1,"","generic desktop",0,"Paris","fr",48.857000,2.352000,"IDF","NULL","NULL","NULL","NULL","NULL"
311,2,0x145a5341f8b06143,"2023-10-22 16:53:13","NULL","NULL",-1,0,"NULL",1,"",14.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","NULL",1,"AN",1,"SA","Galaxy Tab 3 10.1"" WiFi",2,"Toronto (Old Toronto)","ca",43.650000,-79.382000,"ON","NULL","NULL","NULL","NULL","NULL"
312,2,0x493d4a562be32b0c,"2023-10-22 17:03:21","NULL","NULL",-1,0,"NULL",1,"",22.5,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"CH",1,"","generic desktop",0,"Paris","fr",48.857000,2.352000,"IDF","NULL","NULL","NULL","NULL","NULL"
313,2,0xdee1fecc68986181,"2023-10-22 17:15:32","NULL","NULL",-1,0,"NULL",1,"",5.4,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"IE",1,"SO","generic desktop",0,"Paris","fr",48.857000,2.352000,"IDF","NULL","NULL","NULL","NULL","NULL"
314,2,0x461432a321251f37,"2023-10-22 17:22:54","NULL","NULL",-1,0,"NULL",1,"",19.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"CH",1,"","generic desktop",0,"Marseille","fr",43.297000,5.370000,"","NULL","NULL","NULL","NULL","NULL"
315,2,0x828f96aff1a89c42,"2023-10-22 18:07:47","NULL","NULL",-1,0,"NULL",2,"",21.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"CH",1,"","generic desktop",0,"Vigneux-sur-Seine","fr",48.700000,2.417000,"IDF","NULL","NULL","NULL","NULL","NULL"
316,2,0xbbee1f413500ce45,"2023-10-22 18:38:03","NULL","NULL",-1,0,"NULL",2,"",31.5,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"IE",1,"","generic desktop",0,"Paris","fr",48.857000,2.352000,"IDF","NULL","NULL","NULL","NULL","NULL"
317,2,0x698a55d0ab1458d6,"2023-10-22 18:49:52","NULL","NULL",-1,0,"NULL",3,"",33.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"MF",1,"AP","iPad",2,"Norwalk","us",41.142000,-73.427000,"CT","NULL","NULL","NULL","NULL","NULL"
318,2,0x581a76588b2f1e1e,"2023-10-22 18:59:37","NULL","NULL",-1,0,"NULL",0,"",0.0,"NULL","NULL","NULL","NULL","NULL",1,44522,"NULL",2,"NULL","referrer.example.org",3,"SF",1,"AP","generic desktop",0,"Lyon","fr",45.764000,4.836000,"ARA","NULL","NULL","NULL","NULL","NULL"
319,2,0x47c2b0da325d2d06,"2023-10-22 19:00:16","NULL","NULL",-1,0,"NULL",1,"",25.8,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","NULL",1,"AN",1,"SA","Galaxy Note 10.1""",2,"Paris","fr",48.857000,2.352000,"IDF","NULL","NULL","NULL","NULL","NULL"
320,2,0x4456c2406efe30ff,"2023-10-22 19:06:01","NULL","NULL",-1,0,"NULL",3,"",33.0,"NULL","NULL","NULL","NULL","NULL",1,29164,"NULL",3,"NULL","referrer.example.org",3,"MF",1,"AP","iPad",2,"Norwalk","us",41.142000,-73.427000,"CT","NULL","NULL","NULL","NULL","NULL"
321,2,0xb0c1151d20587513,"2023-10-22 19:26:35","NULL","NULL",-1,0,"NULL",1,"",14.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"CH",1,"AP","generic desktop",0,"Paris","fr",48.857000,2.352000,"IDF","NULL","NULL","NULL","NULL","NULL"
322,2,0x9d4972365cf9fbf8,"2023-10-22 19:44:50","NULL","NULL",-1,0,"NULL",0,"",0.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","NULL",1,"MF",1,"AP","iPad",2,"Norwalk","us",41.142000,-73.427000,"CT","NULL","NULL","NULL","NULL","NULL"
323,2,0x581a76588b2f1e1e,"2023-10-22 19:56:35","NULL","NULL",-1,0,"NULL",0,"",0.0,"NULL","NULL","NULL","NULL","NULL",1,47940,"NULL",3,"NULL","referrer.example.org",3,"SF",1,"AP","generic desktop",0,"Lyon","fr",45.764000,4.836000,"ARA","NULL","NULL","NULL","NULL","NULL"
324,2,0x267a73b0e4825464,"2023-10-22 21:07:38","NULL","NULL",-1,0,"NULL",2,"",34.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"FF",1,"","generic desktop",0,"Brussels","be",50.860000,4.358000,"","NULL","NULL","NULL","NULL","NULL"
325,2,0xd63490a862870ef2,"2023-10-22 21:14:06","NULL","NULL",-1,0,"NULL",1,"",6.5,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"CV",1,"SA","Galaxy S4",1,"Edegem","be",51.157000,4.445000,"","NULL","NULL","NULL","NULL","NULL"
326,2,0x1caa6ef6086b04f2,"2023-10-22 21:21:12","NULL","NULL",-1,0,"NULL",2,"",6.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"CH",1,"AP","generic desktop",0,"Annecy","fr",45.899000,6.129000,"ARA","NULL","NULL","NULL","NULL","NULL"
327,2,0x581a76588b2f1e1e,"2023-10-22 21:24:11","NULL","NULL",-1,0,"NULL",0,"",0.0,"NULL","NULL","NULL","NULL","NULL",1,53196,"NULL",4,"NULL","referrer.example.org",3,"SF",1,"AP","generic desktop",0,"Lyon","fr",45.764000,4.836000,"ARA","NULL","NULL","NULL","NULL","NULL"
328,2,0x45f6908514085522,"2023-10-22 21:31:12","NULL","NULL",-1,0,"NULL",2,"",51.5,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"AN",1,"SA","Galaxy Tab 3 10.1"" WiFi",2,"Mantes-la-Jolie","fr",48.989000,1.715000,"IDF","NULL","NULL","NULL","NULL","NULL"
329,2,0xddabf5a88eeb4d55,"2023-10-22 21:44:25","NULL","NULL",-1,0,"NULL",1,"",14.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"CH",1,"","generic desktop",0,"Liepāja","lv",56.508000,21.014000,"LPX","NULL","NULL","NULL","NULL","NULL"
330,2,0x581a76588b2f1e1e,"2023-10-22 22:03:08","NULL","NULL",-1,0,"NULL",0,"",0.0,"NULL","NULL","NULL","NULL","NULL",1,55533,"NULL",5,"NULL","referrer.example.org",3,"SF",1,"AP","generic desktop",0,"Lyon","fr",45.764000,4.836000,"ARA","NULL","NULL","NULL","NULL","NULL"
331,2,0x47210d87643d013f,"2023-10-22 22:25:48","NULL","NULL",-1,0,"NULL",0,"",0.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"CV",1,"SA","Galaxy S4",1,"Paris","fr",48.857000,2.352000,"IDF","NULL","NULL","NULL","NULL","NULL"
332,2,0x1718a4e589108a69,"2023-10-22 22:32:01","NULL","NULL",-1,0,"NULL",1,"",27.5,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"","example-duncan",6,"AN",1,"SA","Galaxy Tab 3 10.1"" WiFi",2,"Paris","fr",48.857000,2.352000,"IDF","NULL","NULL","NULL","NULL","NULL"
333,2,0xe91f7a7bf4094856,"2023-10-22 23:06:33","NULL","NULL",-1,0,"NULL",1,"",32.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"NULL","referrer.example.org",3,"FF",1,"","generic desktop",0,"Paris","fr",48.857000,2.352000,"IDF","NULL","NULL","NULL","NULL","NULL"
337,2,0x581a76588b2f1e1e,"2023-10-22 23:05:54","NULL","NULL",-1,0,"NULL",0,"",0.0,"NULL","NULL","NULL","NULL","NULL",1,59299,"NULL",6,"NULL","referrer.example.org",3,"SF",1,"AP","generic desktop",0,"Lyon","fr",45.764000,4.836000,"ARA","NULL","NULL","NULL","NULL","NULL"
344,2,0x581a76588b2f1e1e,"2023-10-22 23:45:29","NULL","NULL",-1,0,"NULL",2,"",25.0,"NULL","NULL","NULL","NULL","NULL",1,61300,"NULL",7,"NULL","referrer.example.org",3,"SF",1,"AP","generic desktop",0,"Lyon","fr",45.764000,4.836000,"ARA","NULL","NULL","NULL","NULL","NULL"
349,2,0x3576326382687e8d,"2023-10-23 03:05:05","NULL","NULL",-1,0,"NULL",4,"",50.0,"NULL","NULL","NULL","NULL","NULL",0,0,"NULL",1,"","Twitter",7,"OP",1,"","generic desktop",0,"West Selena","mc",22.251967,120.353278,"LA","NULL","NULL","NULL","NULL","NULL"
